amount,is_active_call,is_foreign_call,is_screen_sharing,is_sim_changed_24h,nlp_coercion_score,is_fraud
25401.95,1,1,1,0,0.88,1
5312.68,0,0,0,0,0.04,0
2738.07,0,0,0,0,0.08,0
1201.14,0,0,0,0,0.06,0
654.57,0,0,0,0,0.05,0
1852.32,0,0,0,0,0.11,0
1578.91,0,0,0,0,0.01,0
54433.61,1,1,1,0,0.99,1
2964.88,0,0,0,0,0.15,0
36645.65,1,1,1,0,0.78,1
3128.98,0,0,0,0,0.02,0
1664.8,0,0,0,0,0.08,0
1360.83,0,0,0,0,0.18,0
984.92,0,0,0,0,0.02,0
45518.45,1,1,0,0,0.79,1
5950.08,0,0,0,0,0.07,0
49993.53,1,0,1,0,0.91,1
1613.38,0,0,0,0,0.02,0
3212.71,0,0,0,0,0.19,0
59196.11,1,0,1,0,0.89,1
484.5,0,0,0,0,0.15,0
2790.61,0,0,0,0,0.19,0
29293.6,1,1,1,0,0.92,1
77755.76,1,1,1,0,0.83,1
2807.03,0,0,0,0,0.11,0
599.96,0,0,0,0,0.19,0
8575.31,0,0,0,0,0.06,0
4312.69,0,0,0,0,0.12,0
4201.49,0,0,0,0,0.1,0
75341.56,1,0,1,0,0.79,1
3504.54,0,0,0,0,0.19,0
6448.47,0,0,0,0,0.02,0
77008.94,1,0,1,1,0.87,1
643.61,0,0,0,0,0.19,0
1156.71,0,0,0,0,0.15,0
6814.63,0,0,0,0,0.11,0
37128.36,1,1,1,0,0.83,1
25683.36,1,1,0,0,0.85,1
6408.13,0,0,0,0,0.13,0
1597.24,0,0,0,0,0.03,0
3930.82,0,0,0,0,0.08,0
1549.54,0,0,0,0,0.0,0
1467.31,0,0,0,0,0.05,0
5289.28,0,0,0,0,0.17,0
3283.17,0,0,0,0,0.1,0
1318.32,0,0,0,0,0.06,0
3387.31,0,0,0,0,0.01,0
1059.82,0,0,0,0,0.03,0
8527.81,0,0,0,0,0.01,0
1001.21,0,0,0,0,0.19,0
31903.9,1,0,1,0,0.9,1
2943.74,0,0,0,0,0.06,0
1691.73,0,0,0,0,0.12,0
2080.2,0,0,0,0,0.15,0
598.09,0,0,0,0,0.16,0
2683.87,0,0,0,0,0.05,0
1371.78,0,0,0,0,0.06,0
512.35,0,0,0,0,0.04,0
2169.14,0,0,0,0,0.08,0
2963.46,0,0,0,0,0.09,0
45864.81,1,1,1,0,0.79,1
3380.99,0,0,0,0,0.18,0
1356.1,0,0,0,0,0.04,0
2376.83,0,0,0,0,0.08,0
6702.91,0,0,0,0,0.17,0
48834.13,1,1,1,1,0.9,1
3356.57,0,0,0,0,0.05,0
1075.63,0,0,0,0,0.07,0
2288.37,0,0,0,0,0.18,0
4816.54,0,0,0,0,0.14,0
3432.29,0,0,0,0,0.05,0
2348.8,0,0,0,0,0.19,0
1616.52,0,0,0,0,0.12,0
1824.69,0,0,0,0,0.0,0
39134.44,1,1,1,0,0.99,1
67262.17,0,0,1,1,0.89,1
3572.34,0,0,0,0,0.12,0
4699.9,0,0,0,0,0.15,0
55401.84,1,0,1,1,0.79,1
3563.74,0,0,0,0,0.2,0
27596.62,1,1,1,0,0.91,1
1466.48,0,0,0,0,0.07,0
87326.67,1,1,1,1,0.91,1
3838.82,0,0,0,0,0.19,0
88917.15,1,0,1,0,0.77,1
1799.17,0,0,0,0,0.02,0
3461.35,0,0,0,0,0.14,0
4270.42,0,0,0,0,0.05,0
3249.19,0,0,0,0,0.07,0
2962.8,0,0,0,0,0.12,0
2618.33,0,0,0,0,0.11,0
1790.32,0,0,0,0,0.19,0
4062.65,0,0,0,0,0.08,0
1428.42,0,0,0,0,0.13,0
3248.09,0,0,0,0,0.12,0
2473.47,0,0,0,0,0.07,0
2247.99,0,0,0,0,0.2,0
53543.49,1,1,0,0,0.92,1
443.78,0,0,0,0,0.08,0
5059.33,0,0,0,0,0.08,0
2455.95,0,0,0,0,0.14,0
1596.42,0,0,0,0,0.12,0
2341.85,0,0,0,0,0.01,0
4755.01,0,0,0,0,0.11,0
7502.74,0,0,0,0,0.01,0
436.78,0,0,0,0,0.2,0
2187.38,0,0,0,0,0.11,0
928.44,0,0,0,0,0.02,0
55371.96,1,0,1,0,0.84,1
553.86,0,0,0,0,0.04,0
710.22,0,0,0,0,0.07,0
64674.44,1,1,0,1,0.86,1
1578.24,0,0,0,0,0.12,0
3878.03,0,0,0,0,0.18,0
2796.51,0,0,0,0,0.18,0
1199.17,0,0,0,0,0.2,0
553.77,0,0,0,0,0.01,0
1223.1,0,0,0,0,0.19,0
789.27,0,0,0,0,0.13,0
5926.53,0,0,0,0,0.18,0
3093.73,0,0,0,0,0.16,0
54187.45,1,1,1,0,0.83,1
1660.86,0,0,0,0,0.06,0
43907.0,1,1,1,0,0.8,1
82904.09,0,0,1,0,0.9,1
27586.81,1,0,1,1,0.83,1
4215.18,0,0,0,0,0.07,0
4940.49,0,0,0,0,0.14,0
699.76,0,0,0,0,0.0,0
3582.57,0,0,0,0,0.16,0
78419.56,1,1,1,0,0.79,1
4037.83,0,0,0,0,0.02,0
2460.02,0,0,0,0,0.03,0
879.87,0,0,0,0,0.14,0
4032.23,0,0,0,0,0.07,0
3088.91,0,0,0,0,0.14,0
1391.12,0,0,0,0,0.15,0
43688.23,1,0,1,0,0.87,1
4167.18,0,0,0,0,0.06,0
799.06,0,0,0,0,0.05,0
1052.94,0,0,0,0,0.07,0
2093.32,0,0,0,0,0.0,0
2512.33,0,0,0,0,0.1,0
81092.38,1,1,1,0,0.83,1
3449.36,0,0,0,0,0.18,0
6068.02,0,0,0,0,0.01,0
6458.61,0,0,0,0,0.08,0
39771.97,1,1,1,0,0.86,1
70601.74,1,1,0,0,0.87,1
3625.74,0,0,0,0,0.17,0
3891.05,0,0,0,0,0.16,0
1213.48,0,0,0,0,0.09,0
42881.43,1,1,1,0,0.88,1
4583.13,0,0,0,0,0.09,0
3990.7,0,0,0,0,0.12,0
89848.7,1,1,0,0,0.91,1
1014.15,0,0,0,0,0.19,0
1172.68,0,0,0,0,0.04,0
2396.98,0,0,0,0,0.13,0
3215.49,0,0,0,0,0.14,0
557.36,0,0,0,0,0.19,0
60731.62,1,1,1,0,0.76,1
2277.16,0,0,0,0,0.03,0
2565.85,0,0,0,0,0.16,0
3516.69,0,0,0,0,0.18,0
3922.42,0,0,0,0,0.11,0
3542.14,0,0,0,0,0.15,0
7366.07,0,0,0,0,0.04,0
38880.29,1,1,1,1,0.81,1
6921.06,0,0,0,0,0.12,0
2537.23,0,0,0,0,0.19,0
53571.59,1,0,1,0,0.8,1
969.19,0,0,0,0,0.14,0
2779.43,0,0,0,0,0.0,0
3611.53,0,0,0,0,0.16,0
7254.82,0,0,0,0,0.06,0
70284.78,1,1,1,1,0.97,1
3088.16,0,0,0,0,0.19,0
38259.65,1,1,1,0,0.81,1
2101.49,0,0,0,0,0.03,0
1545.23,0,0,0,0,0.14,0
5690.23,0,0,0,0,0.12,0
2606.53,0,0,0,0,0.12,0
1888.48,0,0,0,0,0.02,0
1844.26,0,0,0,0,0.16,0
77648.62,1,0,1,1,0.89,1
1190.71,0,0,0,0,0.01,0
5654.82,0,0,0,0,0.1,0
2322.47,0,0,0,0,0.09,0
31009.22,1,0,0,0,0.79,1
2605.97,0,0,0,0,0.07,0
1303.82,0,0,0,0,0.02,0
29893.12,1,0,1,1,0.76,1
3361.29,0,0,0,0,0.13,0
1559.34,0,0,0,0,0.13,0
57626.45,1,1,1,0,0.78,1
7523.63,0,0,0,0,0.15,0
67077.24,1,0,1,0,0.75,1
3586.65,0,0,0,0,0.18,0
4665.72,0,0,0,0,0.17,0
4534.7,0,0,0,0,0.16,0
3335.65,0,0,0,0,0.16,0
2112.82,0,0,0,0,0.09,0
70315.81,1,1,1,1,0.81,1
1058.58,0,0,0,0,0.06,0
4922.77,0,0,0,0,0.08,0
38713.04,1,1,1,0,0.8,1
87852.95,1,0,0,0,0.98,1
9409.42,0,0,0,0,0.13,0
4079.38,0,0,0,0,0.03,0
1628.38,0,0,0,0,0.19,0
2632.67,0,0,0,0,0.14,0
2006.63,0,0,0,0,0.14,0
1315.35,0,0,0,0,0.19,0
1646.51,0,0,0,0,0.08,0
1889.8,0,0,0,0,0.02,0
51366.94,1,0,1,0,0.93,1
2334.6,0,0,0,0,0.0,0
1393.97,0,0,0,0,0.01,0
2415.49,0,0,0,0,0.11,0
2253.07,0,0,0,0,0.19,0
37941.07,1,1,1,0,0.92,1
2553.45,0,0,0,0,0.19,0
40488.83,1,1,1,0,0.77,1
3390.59,0,0,0,0,0.1,0
2460.22,0,0,0,0,0.08,0
2240.04,0,0,0,0,0.14,0
50641.16,1,0,1,0,0.91,1
79273.3,0,0,0,0,0.9,1
896.58,0,0,0,0,0.17,0
3494.25,0,0,0,0,0.11,0
1772.99,0,0,0,0,0.04,0
3527.3,0,0,0,0,0.17,0
43115.13,1,1,1,0,0.76,1
2991.34,0,0,0,0,0.01,0
3678.48,0,0,0,0,0.19,0
2952.37,0,0,0,0,0.02,0
2207.21,0,0,0,0,0.02,0
918.09,0,0,0,0,0.13,0
1050.79,0,0,0,0,0.0,0
53906.33,1,0,1,0,0.86,1
75927.6,1,1,1,0,0.78,1
1119.8,0,0,0,0,0.09,0
3604.47,0,0,0,0,0.01,0
2485.58,0,0,0,0,0.12,0
2443.34,0,0,0,0,0.04,0
5944.64,0,0,0,0,0.09,0
57792.69,1,0,1,0,0.79,1
1268.12,0,0,0,0,0.05,0
789.32,0,0,0,0,0.16,0
4135.51,0,0,0,0,0.07,0
2818.33,0,0,0,0,0.19,0
3371.82,0,0,0,0,0.1,0
1386.0,0,0,0,0,0.08,0
1226.46,0,0,0,0,0.15,0
3182.97,0,0,0,0,0.17,0
62230.07,1,0,1,1,0.86,1
2330.77,0,0,0,0,0.08,0
350.42,0,0,0,0,0.17,0
4148.48,0,0,0,0,0.16,0
3637.17,0,0,0,0,0.14,0
3210.63,0,0,0,0,0.03,0
41096.06,1,1,1,1,0.85,1
3690.23,0,0,0,0,0.15,0
3169.84,0,0,0,0,0.12,0
3414.87,0,0,0,0,0.1,0
2445.74,0,0,0,0,0.08,0
1810.61,0,0,0,0,0.05,0
1725.97,0,0,0,0,0.11,0
64476.09,1,1,1,0,0.82,1
3486.2,0,0,0,0,0.11,0
6827.62,0,0,0,0,0.05,0
2374.62,0,0,0,0,0.09,0
2817.83,0,0,0,0,0.06,0
2137.73,0,0,0,0,0.12,0
33695.58,0,0,1,0,0.78,1
3849.22,0,0,0,0,0.07,0
3622.48,0,0,0,0,0.1,0
781.74,0,0,0,0,0.17,0
1746.8,0,0,0,0,0.19,0
931.48,0,0,0,0,0.13,0
1370.87,0,0,0,0,0.06,0
3962.56,0,0,0,0,0.07,0
7000.88,0,0,0,0,0.07,0
71495.95,1,1,1,1,0.82,1
60787.09,1,1,1,1,0.98,1
2938.45,0,0,0,0,0.07,0
3044.18,0,0,0,0,0.1,0
5232.45,0,0,0,0,0.17,0
828.83,0,0,0,0,0.15,0
2821.52,0,0,0,0,0.15,0
4264.03,0,0,0,0,0.09,0
1088.95,0,0,0,0,0.05,0
5236.67,0,0,0,0,0.2,0
2102.14,0,0,0,0,0.08,0
5937.77,0,0,0,0,0.14,0
4730.95,0,0,0,0,0.13,0
2105.78,0,0,0,0,0.19,0
2660.67,0,0,0,0,0.17,0
786.8,0,0,0,0,0.0,0
412.59,0,0,0,0,0.17,0
2558.62,0,0,0,0,0.12,0
2207.95,0,0,0,0,0.15,0
3784.31,0,0,0,0,0.07,0
85303.47,1,1,1,1,0.99,1
88169.94,1,0,1,0,0.94,1
1870.09,0,0,0,0,0.16,0
42775.84,1,0,1,1,0.86,1
3862.33,0,0,0,0,0.11,0
2905.24,0,0,0,0,0.14,0
1435.92,0,0,0,0,0.06,0
2153.38,0,0,0,0,0.06,0
2556.04,0,0,0,0,0.11,0
2637.83,0,0,0,0,0.03,0
2538.69,0,0,0,0,0.05,0
2996.57,0,0,0,0,0.2,0
4317.92,0,0,0,0,0.09,0
2559.82,0,0,0,0,0.06,0
6415.0,0,0,0,0,0.18,0
5311.84,0,0,0,0,0.15,0
2470.73,0,0,0,0,0.12,0
1836.5,0,0,0,0,0.14,0
2933.03,0,0,0,0,0.11,0
1115.0,0,0,0,0,0.03,0
34282.93,0,0,1,0,0.86,1
1770.33,0,0,0,0,0.06,0
883.81,0,0,0,0,0.13,0
2913.64,0,0,0,0,0.01,0
2228.9,0,0,0,0,0.08,0
3368.12,0,0,0,0,0.14,0
45334.22,1,1,1,0,0.76,1
4528.22,0,0,0,0,0.17,0
4953.46,0,0,0,0,0.14,0
3182.46,0,0,0,0,0.0,0
1745.08,0,0,0,0,0.01,0
4040.03,0,0,0,0,0.17,0
2736.58,0,0,0,0,0.13,0
630.93,0,0,0,0,0.19,0
3422.29,0,0,0,0,0.03,0
2542.57,0,0,0,0,0.17,0
2399.16,0,0,0,0,0.09,0
515.53,0,0,0,0,0.2,0
77517.23,1,1,0,1,0.82,1
3324.83,0,0,0,0,0.17,0
3810.17,0,0,0,0,0.19,0
4184.67,0,0,0,0,0.03,0
2053.42,0,0,0,0,0.16,0
6895.14,0,0,0,0,0.19,0
29469.0,1,1,1,0,0.76,1
3887.83,0,0,0,0,0.12,0
39584.89,1,1,1,0,0.85,1
3253.57,0,0,0,0,0.15,0
5689.4,0,0,0,0,0.2,0
1822.62,0,0,0,0,0.11,0
55882.04,1,1,1,0,0.94,1
48549.08,0,0,1,0,0.84,1
3704.78,0,0,0,0,0.1,0
2258.96,0,0,0,0,0.04,0
78715.37,1,0,1,1,0.75,1
5358.9,0,0,0,0,0.18,0
3783.77,0,0,0,0,0.05,0
4603.07,0,0,0,0,0.06,0
238.67,0,0,0,0,0.19,0
3928.96,0,0,0,0,0.08,0
32407.78,1,1,1,0,0.94,1
26420.04,1,1,1,0,0.87,1
4860.76,0,0,0,0,0.14,0
2406.59,0,0,0,0,0.19,0
2492.42,0,0,0,0,0.14,0
2379.5,0,0,0,0,0.01,0
58221.1,1,1,1,0,0.83,1
2167.9,0,0,0,0,0.04,0
64979.53,1,1,1,1,0.88,1
5385.3,0,0,0,0,0.1,0
2747.23,0,0,0,0,0.1,0
664.47,0,0,0,0,0.04,0
1965.27,0,0,0,0,0.1,0
323.59,0,0,0,0,0.07,0
1741.97,0,0,0,0,0.07,0
4010.45,0,0,0,0,0.05,0
5669.16,0,0,0,0,0.09,0
26601.89,1,1,1,0,0.96,1
2800.89,0,0,0,0,0.1,0
1463.32,0,0,0,0,0.13,0
4545.81,0,0,0,0,0.04,0
84222.83,1,1,1,0,0.89,1
2508.53,0,0,0,0,0.08,0
2290.14,0,0,0,0,0.16,0
3100.81,0,0,0,0,0.01,0
37512.05,0,0,1,1,0.86,1
3057.14,0,0,0,0,0.01,0
5178.63,0,0,0,0,0.15,0
1420.52,0,0,0,0,0.1,0
905.67,0,0,0,0,0.16,0
3174.42,0,0,0,0,0.09,0
6890.39,0,0,0,0,0.19,0
1444.12,0,0,0,0,0.04,0
28357.73,1,1,0,0,0.95,1
50028.77,1,1,1,0,0.85,1
45598.77,1,1,1,1,0.84,1
1043.71,0,0,0,0,0.01,0
1618.86,0,0,0,0,0.11,0
1771.01,0,0,0,0,0.15,0
3014.59,0,0,0,0,0.07,0
3399.4,0,0,0,0,0.01,0
3526.89,0,0,0,0,0.05,0
70173.06,1,1,1,0,0.95,1
25638.79,1,1,0,0,0.85,1
6105.28,0,0,0,0,0.18,0
82053.71,1,1,1,0,0.86,1
3138.33,0,0,0,0,0.11,0
78332.99,1,0,1,0,0.79,1
2149.9,0,0,0,0,0.12,0
1660.05,0,0,0,0,0.03,0
705.83,0,0,0,0,0.18,0
1642.67,0,0,0,0,0.08,0
88861.37,1,1,1,1,0.92,1
2228.44,0,0,0,0,0.12,0
1174.44,0,0,0,0,0.13,0
5186.11,0,0,0,0,0.2,0
3411.27,0,0,0,0,0.05,0
1113.58,0,0,0,0,0.04,0
1285.32,0,0,0,0,0.02,0
3807.59,0,0,0,0,0.09,0
1078.35,0,0,0,0,0.18,0
3473.72,0,0,0,0,0.08,0
1770.51,0,0,0,0,0.15,0
3098.48,0,0,0,0,0.16,0
56980.11,1,1,1,0,0.78,1
62858.28,1,1,0,0,0.89,1
1303.61,0,0,0,0,0.15,0
41777.0,1,1,1,1,0.9,1
5564.56,0,0,0,0,0.05,0
1610.22,0,0,0,0,0.03,0
5086.71,0,0,0,0,0.15,0
705.79,0,0,0,0,0.11,0
3087.38,0,0,0,0,0.11,0
36979.59,1,1,1,1,0.77,1
3898.96,0,0,0,0,0.17,0
7521.39,0,0,0,0,0.13,0
66061.96,1,1,1,1,0.91,1
429.06,0,0,0,0,0.08,0
28581.6,0,0,1,1,0.91,1
7946.38,0,0,0,0,0.11,0
40704.08,0,0,1,1,0.82,1
1608.31,0,0,0,0,0.04,0
916.83,0,0,0,0,0.15,0
68045.09,1,1,0,1,0.99,1
1251.51,0,0,0,0,0.04,0
1967.59,0,0,0,0,0.14,0
3921.42,0,0,0,0,0.12,0
3748.19,0,0,0,0,0.1,0
1573.02,0,0,0,0,0.12,0
3820.63,0,0,0,0,0.14,0
4349.05,0,0,0,0,0.17,0
1078.52,0,0,0,0,0.15,0
2600.93,0,0,0,0,0.04,0
1427.41,0,0,0,0,0.04,0
6863.67,0,0,0,0,0.14,0
76857.3,0,0,1,0,0.91,1
1416.12,0,0,0,0,0.2,0
3016.95,0,0,0,0,0.14,0
2958.69,0,0,0,0,0.15,0
6112.43,0,0,0,0,0.07,0
47296.74,1,1,0,0,0.9,1
3009.33,0,0,0,0,0.12,0
1010.17,0,0,0,0,0.19,0
1250.09,0,0,0,0,0.04,0
1381.52,0,0,0,0,0.07,0
5863.1,0,0,0,0,0.0,0
43135.54,1,0,1,0,0.88,1
3714.72,0,0,0,0,0.19,0
183.48,0,0,0,0,0.11,0
5270.27,0,0,0,0,0.01,0
36976.16,1,1,1,0,0.91,1
1388.67,0,0,0,0,0.16,0
8308.6,0,0,0,0,0.15,0
2995.05,0,0,0,0,0.1,0
6403.24,0,0,0,0,0.0,0
867.86,0,0,0,0,0.06,0
5838.83,0,0,0,0,0.16,0
64629.32,1,1,1,0,0.89,1
3524.86,0,0,0,0,0.11,0
4102.59,0,0,0,0,0.14,0
2609.27,0,0,0,0,0.11,0
5725.31,0,0,0,0,0.15,0
55159.05,1,1,1,0,0.97,1
70762.04,1,1,1,0,0.96,1
2327.6,0,0,0,0,0.08,0
4433.07,0,0,0,0,0.15,0
3168.95,0,0,0,0,0.13,0
3158.91,0,0,0,0,0.12,0
4577.65,0,0,0,0,0.1,0
67608.15,1,1,1,0,0.97,1
28325.76,1,1,1,0,0.95,1
88469.67,0,0,0,1,0.8,1
2699.68,0,0,0,0,0.05,0
10104.8,0,0,0,0,0.08,0
1878.77,0,0,0,0,0.19,0
2995.24,0,0,0,0,0.05,0
33389.63,1,1,1,0,0.98,1
323.27,0,0,0,0,0.18,0
3352.48,0,0,0,0,0.06,0
668.75,0,0,0,0,0.17,0
3663.71,0,0,0,0,0.14,0
2996.8,0,0,0,0,0.02,0
1252.8,0,0,0,0,0.01,0
28705.16,1,1,0,0,0.76,1
8598.6,0,0,0,0,0.12,0
5885.25,0,0,0,0,0.0,0
6411.07,0,0,0,0,0.04,0
2805.25,0,0,0,0,0.14,0
1836.68,0,0,0,0,0.1,0
2353.25,0,0,0,0,0.13,0
2633.44,0,0,0,0,0.18,0
41821.51,1,1,1,0,0.8,1
4317.94,0,0,0,0,0.01,0
62688.92,1,1,0,0,0.98,1
405.9,0,0,0,0,0.11,0
1855.78,0,0,0,0,0.12,0
1665.15,0,0,0,0,0.01,0
1463.29,0,0,0,0,0.16,0
1485.32,0,0,0,0,0.13,0
3519.03,0,0,0,0,0.08,0
3435.08,0,0,0,0,0.19,0
1716.55,0,0,0,0,0.13,0
2915.49,0,0,0,0,0.01,0
4488.89,0,0,0,0,0.02,0
1023.97,0,0,0,0,0.12,0
47255.68,1,1,1,0,0.86,1
1529.57,0,0,0,0,0.03,0
1349.42,0,0,0,0,0.1,0
1187.92,0,0,0,0,0.11,0
75189.88,1,0,1,0,0.8,1
35494.1,1,1,1,0,0.87,1
37523.97,1,1,1,0,0.83,1
1589.85,0,0,0,0,0.08,0
1422.35,0,0,0,0,0.08,0
3304.62,0,0,0,0,0.11,0
27558.52,1,1,1,1,0.78,1
4462.22,0,0,0,0,0.08,0
1727.66,0,0,0,0,0.04,0
1892.98,0,0,0,0,0.08,0
3859.71,0,0,0,0,0.03,0
1913.12,0,0,0,0,0.01,0
46627.42,1,1,0,0,0.77,1
1393.39,0,0,0,0,0.1,0
6358.97,0,0,0,0,0.1,0
1701.95,0,0,0,0,0.16,0
668.8,0,0,0,0,0.03,0
27234.5,1,0,0,0,0.9,1
66670.6,1,1,1,0,0.77,1
4634.43,0,0,0,0,0.01,0
69670.23,1,1,1,0,0.95,1
2775.27,0,0,0,0,0.19,0
6036.37,0,0,0,0,0.15,0
5082.42,0,0,0,0,0.12,0
1222.06,0,0,0,0,0.1,0
8703.11,0,0,0,0,0.05,0
4076.09,0,0,0,0,0.04,0
2725.71,0,0,0,0,0.19,0
7266.75,0,0,0,0,0.08,0
1496.68,0,0,0,0,0.06,0
4407.94,0,0,0,0,0.07,0
1829.89,0,0,0,0,0.15,0
1712.6,0,0,0,0,0.11,0
2015.1,0,0,0,0,0.2,0
2576.23,0,0,0,0,0.1,0
3078.97,0,0,0,0,0.02,0
913.77,0,0,0,0,0.03,0
1119.3,0,0,0,0,0.13,0
1103.51,0,0,0,0,0.01,0
1517.22,0,0,0,0,0.06,0
6454.63,0,0,0,0,0.04,0
2861.59,0,0,0,0,0.11,0
4184.12,0,0,0,0,0.19,0
1977.4,0,0,0,0,0.02,0
4385.42,0,0,0,0,0.16,0
2858.44,0,0,0,0,0.05,0
2735.53,0,0,0,0,0.07,0
3376.07,0,0,0,0,0.07,0
2315.84,0,0,0,0,0.01,0
1925.03,0,0,0,0,0.12,0
1880.11,0,0,0,0,0.03,0
